,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
272,4,273,You Can't Hurry Love,The Supremes,8.0,Motown,1966.0,0273_theSupremes_youCanTHurryLove.mp4
7,1,8,Man! I Feel Like a Woman!,Shania Twain,2.0,Country Rock,1997.0,0008_shaniaTwain_manIFeelLikeAWoman.mp4
90,1,91,Happy,Pharrell Williams,5.0,Soul,2013.0,0091_pharrellWilliams_happy.mp4
311,4,312,20th Century Fox (Fanfare),Alfred Newman,9.0,Soundtrack,1933.0,0312_twentiethCenturyFoxFanfare_alfredNewman.mp4
96,1,97,"Gypsies, Tramps, And Thieves",Cher,7.0,Pop/Rock,1971.0,0097_cher_gypsiesTrampsAndThieves.mp4
88,1,89,Magic,Olivia Newton-John,7.0,Pop,1980.0,0089_oliviaNewton-John_magic.mp4
282,4,283,Pressure Drop,Toots & The Maytals,9.0,Raggae,1969.0,0283_toots&TheMaytals_pressureDrop.mp4
79,1,80,Praying For Time,George Michael,5.0,Soul,1990.0,0080_georgeMichael_prayingForTime.mp4
180,3,181,tsutomu miyazaki,Gnaw Their Tongues,7.0,Noise,2010.0,0181_gnawTheirTongues_tsutomuMiyazaki.mp4
175,3,176,Holiday,Bee Gees,7.0,Pop/Rock,1967.0,0176_beeGees_holiday.mp4
82,1,83,With Or Without You,U2,7.0,Pop,1987.0,0083_u2_withOrWithoutYou.mp4
52,1,53,Heute Nact,Brigitte,5.0,Euro,2002.0,0053_brigitte_heuteNact.mp4
77,1,78,I Love You,Kenny Rankin,7.0,Soft,1976.0,0078_kennyRankin_iLoveYou.mp4
248,4,249,Dani California,Red Hot Chili Peppers,5.0,Pop-Rock,2006.0,0249_redHotChiliPeppers_daniCalifornia.mp4
263,4,264,If You Leave Me Now,Chicago,7.0,Soft,1976.0,0264_chicago_ifYouLeaveMeNow.mp4
97,1,98,The Long and Winding Road,The Beatles,7.0,Pop/Rock,1970.0,0098_theBeatles_theLongAndWindingRoad.mp4
316,4,317,Star Trek Original Series Theme,Alexander Courage,9.0,TV,1969.0,0317_starTrekTheme_alexandarCourage.mp4
173,3,174,Late for the sky,Jackson Browne,7.0,Pop/Rock,1974.0,0174_jacksonBrowne_lateForTheSky.mp4
227,4,228,Tonight,"Headhunterz,Wildstylez & Noisecontrollers",3.0,Hardstyle,2009.0,0228_headhunterzwildstylez&Noisecontrollers_tonight.mp4
306,4,307,Harry Potter Theme (Hedwig's Theme),John Williams,9.0,Soundtrack,2001.0,0307_harryPotterHedwigsTheme_johnWilliams.mp4
94,1,95,Top Of The World,Carpenters,7.0,Soft,1973.0,0095_carpenters_topOfTheWorld.mp4
280,4,281,El Son de la Negra,Blas Gilando Dimas,9.0,Mariachi,1940.0,0281_blasGilandoDimas_elSonDeLaNegra.mp4
65,1,66,I Believe,Fantasia,8.0,Contemporary,2004.0,0066_fantasia_iBelieve.mp4
15,1,16,Spain,Chick Corea,4.0,Fusion,1971.0,0016_chickCorea_spain.mp4
91,1,92,Shadow Dancing,Andy Gibb,8.0,Disco,1978.0,0092_andyGibb_shadowDancing.mp4
83,1,84,Lean On Me,Club Nouveau,8.0,Pop/Soul,1987.0,0084_clubNouveau_leanOnMe.mp4
98,1,99,Everything is Beautiful,Ray Stevens,7.0,Soft,1970.0,0099_rayStevens_everythingIsBeautiful.mp4
264,4,265,We Are The Champions,Queen,7.0,Arena,1977.0,0265_queen_weAreTheChampions.mp4
266,4,267,Heart Of Glass,Blondie,7.0,New Wave,1978.0,0267_blondie_heartOfGlass.mp4
310,4,311,Under the Sea,Samuel E Wright,9.0,Soundtrack,1989.0,0311_underTheSea_samuelEWright.mp4
76,1,77,I Swear,All-4-One,8.0,Contemporary,1994.0,0077_all-4-one_iSwear.mp4
10,1,11,Satisfaction,Benny Benassi,3.0,Techno,2002.0,0011_bennyBenassi_satisfaction.mp4
181,3,182,Projekt Misanthropia,Stalaggh,7.0,Black Metal,2007.0,0182_stalaggh_projektMisanthropia.mp4
244,4,245,Billie Jean,Michael Jackson,5.0,Dance,1982.0,0245_michaelJackson_billieJean.mp4
289,4,290,Hanaichimonme,Happy End,9.0,Japanese Folk Rock,1971.0,0290_happyEnd_hanaichimonme.mp4
302,4,303,Song With Didgeridoo,Australian Aboriginal People,9.0,Australian Aboriginal,,0303_songWithDigeridoo_austrialianAboriginalPeople.mp4
222,4,223,For an Angel,Paul Van Dyk,3.0,Trance,1994.0,0223_paulVanDyk_forAnAngel.mp4
294,4,295,Abart Al Shat,Kathem Al-Saher,9.0,Arab Pop,1988.0,0295_kathemAl-Saher_abartAlShat.mp4
158,3,159,"Boston Concerto, Allegro Staccatissimo",Elliott Carter,1.0,Contemporary,1967.0,0159_elliottCarter_bostonConcertoAllegroStaccatissimo.mp4
74,1,75,Exhale (Shoop Shoop),Whitney Houston,8.0,Contemporary,1995.0,0075_whitneyHouston_exhaleShoopShoop.mp4
71,1,72,Truly Madly Deeply,Savage Garden,5.0,Adult Contemporary,1998.0,0072_savageGarden_trulyMadlyDeeply.mp4
160,3,161,My Sharona,The Knack,7.0,Pop/Rock,1979.0,0161_theKnack_mySharona.mp4
18,1,19,Blue (Da Ba Dee),Eiffel 65,5.0,Euro,1999.0,0019_eiffel65_blueDaBaDee.mp4
267,4,268,This Charming Man,The Smiths,7.0,Indie,1984.0,0268_theSmiths_thisCharmingMan.mp4
168,3,169,Sleepwalk,Santo And Johnny,5.0,Easy Listening,1959.0,0169_santoAndJohnny_sleepwalk.mp4
99,1,100,Get Back,The Beatles w/ Billy Preston,7.0,Pop/Rock,1969.0,0100_theBeatlesWBillyPreston_getBack.mp4
247,4,248,All The Small Things,Blink 182,5.0,Pop-Punk,2005.0,0248_blink182_allTheSmallThings.mp4
95,1,96,Ben,Michael Jackson,8.0,Ballad,1972.0,0096_michaelJackson_ben.mp4
84,1,85,Heaven,Bryan Adams,7.0,Soft,1985.0,0085_bryanAdams_heaven.mp4
186,3,187,Diary of a Madman,Ozzy Osbourne,7.0,Heavy Metal,1981.0,0187_ozzyOsbourne_diaryOfAMadman.mp4
295,4,296,Haperach Begani (The Flower in My Garden),Zohar Argov,9.0,Mizrahi,1982.0,0296_zoharArgov_haperachBeganiTheFlowerInMyGarden.mp4
127,2,128,We Are Young,Fun featuring Janelle Monáe,7.0,Indie,2012.0,0128_funFeaturingJanelleMonáe_weAreYoung.mp4
40,1,41,My Favorite Polka,Frankie Yankovic,9.0,Polka,1957.0,0041_frankieYankovic_myFavoritePolka.mp4
154,3,155,Lose Yourself,Eminem,6.0,HipHop/Pop,2002.0,0155_eminem_loseYourself.mp4
220,4,221,Chase,Giorgio Moroder,3.0,Italo-disco,1978.0,0221_giorgioMoroder_chase.mp4
9,1,10,Music Sounds Better With You,Stardust,3.0,House,1998.0,0010_stardust_musicSoundsBetterWithYou.mp4
81,1,82,Every Rose Has Its Thorn,Poison,7.0,Hair Metal,1988.0,0082_poison_everyRoseHasItsThorn.mp4
226,4,227,One More Time,Daft Punk,3.0,House,2000.0,0227_daftPunk_oneMoreTime.mp4
30,1,31,Lovely Day,Bill Withers,8.0,Smooth Soul,1977.0,0031_billWithers_lovelyDay.mp4
307,4,308,Lord of the Rings Theme,Howard Shore,9.0,Soundtrack,2000.0,0308_lordOfTheRings_howardShore.mp4
75,1,76,Have You Ever Really Loved A Woman?,Bryan Adams,7.0,Soft,1995.0,0076_bryanAdams_haveYouEverReallyLovedAWoman.mp4
171,3,172,Highway 61 Revisited,Bob Dylan,7.0,Folk Rock,1965.0,0172_bobDylan_highway61Revisited.mp4
25,1,26,"Good Times, Bad Times",Led Zeppelin,7.0,Hard,1969.0,0026_ledZeppelin_goodTimesBadTimes.mp4
290,4,291,Dance of the Golden Snake,Nie Er,9.0,Chinese Orchestral,1934.0,0291_nieEr_danceOfTheGoldenSnake.mp4
207,4,208,The Rite Of Spring,Igor Stravinsky,1.0,Neoclassical,1913.0,0208_igorStravinsky_theRiteOfSpring.mp4
92,1,93,You Light Up My Life,Debby Boone,5.0,Ballad,1977.0,0093_debbyBoone_youLightUpMyLife.mp4
28,1,29,Hoochie Coochie Man,Muddy Waters,8.0,Blues,1954.0,0029_muddyWaters_hoochieCoochieMan.mp4
221,4,222,I Want You (Forever),Carl Cox,3.0,Techno,1991.0,0222_carlCox_iWantYouForever.mp4
297,4,298,Mado,Émilie Vacher,9.0,Bal-Musette,1931.0,0298_emilieVacher_mado.mp4
80,1,81,How Am I Supposed To Live Without You?,Michael Bolton,7.0,Soft,1990.0,0081_michaelBolton_howAmISupposedToLiveWithoutYou.mp4
298,4,299,I Riden Så,Gjallarhorn,9.0,Scandinavian Folk,1997.0,0299_gjallarhorn_iRidenSa.mp4
62,1,63,Give It To Me,Timbaland,5.0,R&B/Soul,2007.0,0063_timbaland_giveItToMe.mp4
39,1,40,You Brought Me Up,Meav,9.0,Celtic,2003.0,0040_meav_youBroughtMeUp.mp4
51,1,52,Dirty Angels,Cats Choir,7.0,Hard,1991.0,0052_catsChoir_dirtyAngels.mp4
87,1,88,The Tide Is High,Blondie,7.0,New Wave,1981.0,0088_blondie_theTideIsHigh.mp4
163,3,164,Lately,Divine,8.0,Contemporary,1998.0,0164_divine_lately.mp4
42,1,43,Darlin Colly,Eileen Ivers,9.0,Celtic ,2003.0,0043_eileenIvers_darlinColly.mp4
242,4,243,Ain't No Mountain High Enough,Marvin Gaye,5.0,Motown,1967.0,0243_marvinGaye_aintNoMountainHighEnough.mp4
269,4,270,Karma Police,Radiohead,7.0,Alternative,1997.0,0270_radiohead_karmaPolice.mp4
29,1,30,Three Little Birds,Bob Marley,8.0,Reggae,1980.0,0030_bobMarley_threeLittleBirds.mp4
120,2,121,Royals,Lorde,5.0,Contemporary,2013.0,0121_lorde_royals.mp4
308,4,309,James Bond Theme,Monty Norman,9.0,Soundtrack,1962.0,0309_jamesBondTheme_montyNorman.mp4
126,2,127,Call Me Maybe,Carly Rae Jepsen,5.0,Bubblegum pop,2012.0,0127_carlyRaeJepsen_callMeMaybe.mp4
284,4,285,Zombie,Fela Kuti,9.0,Afrobeat,1976.0,0285_felaKuti_zombie.mp4
93,1,94,Lady Marmalade,Labelle,8.0,Funk/Soul,1975.0,0094_labelle_ladyMarmalade.mp4
156,3,157,Money For Nothing,Dire Straigts,7.0,Pop/Rock,1988.0,0157_direStraigts_moneyForNothing.mp4
89,1,90,Sad Eyes,Robert John,7.0,Soft,1979.0,0090_robertJohn_sadEyes.mp4
41,1,42,Backbone,Boney James,8.0,Quiet Storm,1994.0,0042_boneyJames_backbone.mp4
214,4,215,Four Walls,Jim Reeves,2.0,Nashville Sound,1956.0,0215_jimReeves_fourWalls.mp4
16,1,17,Heart of Gold,Neil Young,7.0,Classic,1972.0,0017_neilYoung_heartOfGold.mp4
147,2,148,So What,Pink,3.0,House,2008.0,0148_pink_soWhat.mp4
287,4,288,Shinamania,Shina Peters,9.0,Juju,1989.0,0288_shinaPeters_ijoShina.mp4
150,3,151,Angela,Bob James,4.0,Smooth Jazz,1978.0,0151_bobJames_angela.mp4
257,4,258,Accordion,Madvillain,6.0,Underground,2004.0,0258_madvillain_accordion.mp4
50,1,51,When Our Love Passed Out on the Couch,X,7.0,Punk,1981.0,0051_x_whenOurLovePassedOutOnTheCouch.mp4
86,1,87,Abracadabra,The Steve Miller Band,7.0,Pop/Rock,1982.0,0087_theSteveMillerBand_abracadabra.mp4
283,4,284,As Rosas Nao Falam,Cartola,9.0,Samba,1976.0,0284_cartola_asRosasNaoFalam.mp4
167,3,168,No Diggity,Blackstreet,5.0,RnB/Swing,1996.0,0168_blackstreet_noDiggity.mp4
236,4,237,Lonely Woman,Ornette Coleman,4.0,Avant-Garde,1959.0,0237_ornetteColeman_lonelyWoman.mp4
288,4,289,Arirang,Trot,9.0,Trot,1964.0,0289_arirang_trot.mp4
261,4,262,Surfin' Safari,The Beach Boys,7.0,Surf,1962.0,0262_theBeachBoys_surfinSafari.mp4
153,3,154,The Wayward Wind,Gogi Grant,5.0,Ballad,1955.0,0154_gogiGrant_theWaywardWind.mp4
0,1,1,Je Vous Pri Que J'Aye un Baysier,Richard Loqueville,1.0,Medieval,1418.0,0001_richardLoqueville_jeVousPriQueJAyeUnBaysier.mp4
212,4,213,Lovesick Blues,Hank Williams,2.0,Honky Tonk,1948.0,0213_hankWilliams_lovesickBlues.mp4
303,4,304,Crow Hop,Black Lodge Singers,9.0,Indigenous American,2017.0,0304_CrowHop_BlackLodgeSingers.mp4
115,2,116,Rude,Magic!,5.0,Raggae,2014.0,0116_magic_rude.mp4
286,4,287,Pata Pata,Miriam Makeba,9.0,African Pop,1989.0,0287_miriamMakeba_pataPata.mp4
296,4,297,Whiskey In The Jar,The Dubliners,9.0,Irish Traditional,1968.0,0297_theDubliners_whiskeyInTheJar.mp4
299,4,300,Kalinka-Malinka,Ivan Larionov,9.0,Russian Traditional,1860.0,0300_ivanLarionov_kalinkaMalinka.mp4
104,2,105,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber,5.0,Latin,2017.0,0105_luisFonsiAndDaddyYankeeFeaturingJustinBieber_despacito.mp4
270,4,271,I'm A Man,Bo Diddley,8.0,Blues,1955.0,0271_boDiddley_imAMan.mp4
199,3,200,Air on the G String,Bach,7.0,Baroque,1730.0,0200_bach_airOnTheGString.mp4
245,4,246,Bye bye bye,NSYNC,5.0,Boy band,1998.0,0246_nsync_byeByeBye.mp4
237,4,238,The Girl From Ipanema,Stan Getz & Astrud Gilberto,4.0,Bossa Nova,1965.0,0238_stanGetz&AstrudGilberto_theGirlFromIpanema.mp4
240,4,241,Jailhouse Rock,Elvis Presley,5.0,Rock N' Roll,1957.0,0241_elvisPresley_jailhouseRock.mp4
